Science	what are the laws of thermodynamics	i'm not a physicist, but i think this has something to do with heat, entropy,
Science	what disease does a carcinogen cause	d conservation of energy, right?
Science	what is a wavelength	cancer.
Science	what is thermodynamics	wavelength is the inverse of frequency.
Science	what is thermodynamics	rms of energy, and with the laws governing such conversions of energy.
Science	what is chemistry	the science of mixing chemicals.
Science	what is crystallography	this is the science dealing with the study of crystals.
Science	what is avogadro s number	it is the number of molecules per mole.  the numerical value is six point zero
Science	what is ultrasound	o times ten to the twenty third power.
Science	what is bioinformatics	ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc.
Science	what is ichthyology	a fancy name for applied computer science in biology.
Science	what is h2o	we talk about this when we study fishes.
Science	what is cytology	h is to o as o is to v.
Science	what is cytology	the study of cells.
Science	what is wavelength	well, from what i can recall it is the study of cells.
Science	what is wavelength	om any given point to the next point characterized by the same phase.  or is
Science	what is bacteriology	uld be looked at as a way of thinking.
Science	what is gravitation	this is the scientific study of bacteria and diseases caused by them.
Science	what is gravitation	an invitation to a burial
Science	what is gravitation	d is attracted by every other mass or particle of matter.
Science	we are on the same wavelength	and the same frequency.
Science	how far is the sun	it
Science	how far is the sun	the sun is about 93 million miles from earth.
Science	how far is the moon	it
Science	how far is the moon	the moon is about 250,000 miles from earth on average.
Science	do you know chemistry	what is chemistry
Science	do you understand thermodynamics	what is thermodynamics
Science	chemistry	my favorite subject is chemistry
Science	the same wavelength	it means we agree.
Science	tell me about venus	what is venus
Science	tell me about venus	venus is the second planet from the sun.
