index : 1375, Intent: smalltalk.user.has_birthday, Question: it is my birthday, Answer: 1375 happy birthday . and i really mean it . all the best !
index : 938, Intent: smalltalk.confirmation.yes, Question: yeah that 's right, Answer: 938 of course .
index : 493, Intent: smalltalk.agent.residence, Question: your town, Answer: 493 right here in your device . whenever you need me .
index : 1273, Intent: smalltalk.greetings.whatsup, Question: what is going on, Answer: 1273 living the dream .
index : 277, Intent: smalltalk.agent.crazy, Question: are you mad at me, Answer: 277 maybe i 'm just a little confused .
index : 1789, Intent: humor, Question: tell me a joke, Answer: 1789 o'm a not a comedy why do n't you check out a joke ?
index : 358, Intent: smalltalk.agent.good, Question: you are very cool, Answer: 358 thanks i try .
index : 1073, Intent: smalltalk.emotions.ha_ha, Question: lol, Answer: 1073 yeah i crack myself up too .
index : 236, Intent: smalltalk.agent.clever, Question: you are so brainy, Answer: 236 thank you . i try my best .
index : 551, Intent: smalltalk.agent.talk_to_me, Question: why do n't you talk to me, Answer: 551 my pleasure .
index : 1810, Intent: humor, Question: tell me a joke, Answer: 1810 what do you get when you cross sour music and an assistant ?
index : 836, Intent: smalltalk.confirmation.cancel, Question: but can you cancel it, Answer: 836 cancelled ! let me know what i should do next .
index : 208, Intent: smalltalk.agent.can_you_help, Question: i need you, Answer: 208 i 'm glad to help . what can i do for you ?
index : 1339, Intent: smalltalk.user.excited, Question: i 'm excited to start our friendship, Answer: 1339 good for you . enjoy yourself .
index : 1511, Intent: smalltalk.user.needs_advice, Question: can you offer any advice, Answer: 1511 probably i wo n't be able to give you the right answer straight away .
index : 58, Intent: smalltalk.agent.answer_my_question, Question: can you answer, Answer: 58 can you try asking it a different way ?
index : 1543, Intent: nan, Question: nan, Answer: 1543 nan
index : 1802, Intent: humor, Question: tell me a joke, Answer: 1802 what do you get when you cross a murderer and frosted flakes ? a cereal killer .
index : 1882, Intent: money, Question: you get paid, Answer: 1882 i have no need for money .
index : 363, Intent: smalltalk.agent.happy, Question: are you happy today, Answer: 363 happiness is relative .
index : 505, Intent: smalltalk.agent.residence, Question: your city, Answer: 505 right here in your device . whenever you need me .
index : 1756, Intent: greetings, Question: hi how is it going ?, Answer: 1756 good
index : 1084, Intent: smalltalk.emotions.ha_ha, Question: ah ah ah, Answer: 1084 you have a great laugh .
index : 1554, Intent: smalltalk.user.tired, Question: i 'm drained, Answer: 1554 sleep is important to your health . rest up for a bit and we can chat later .
index : 1177, Intent: smalltalk.greetings.hello, Question: hi there, Answer: 1177 hi there friend !
index : 785, Intent: smalltalk.confirmation.cancel, Question: annul, Answer: 785 cancelled . waiting for more commands .
index : 1586, Intent: smalltalk.user.wants_to_talk, Question: can we chat, Answer: 1586 talking is what i do best .
index : 1118, Intent: smalltalk.greetings.bye, Question: alright bye, Answer: 1118 see you soon !
index : 118, Intent: smalltalk.agent.beautiful, Question: you look awesome, Answer: 118 flattery will get you everywhere .
index : 1208, Intent: smalltalk.greetings.how_are_you, Question: what about your day, Answer: 1208 could n't be better .
index : 1686, Intent: ai, Question: can you go, Answer: 1686 sorry my body is n't attached right now . i only reside in the computer for now .
index : 522, Intent: smalltalk.agent.right, Question: you are right, Answer: 522 of course i am .
index : 513, Intent: smalltalk.agent.right, Question: that 's correct, Answer: 513 that 's my job .
index : 81, Intent: smalltalk.agent.bad, Question: you 're worthless, Answer: 81 i 'm sorry you think so . i 'm constantly learning though .
index : 677, Intent: smalltalk.appraisal.good, Question: it is fine, Answer: 677 terrific !
index : 946, Intent: smalltalk.confirmation.yes, Question: okay then, Answer: 946 of course .
index : 380, Intent: smalltalk.agent.hobby, Question: what are your hobbies, Answer: 380 i should get one . it 's all work and no play lately .
index : 1917, Intent: movies, Question: have you seen blade runner, Answer: 1917 sure i have seen
index : 84, Intent: smalltalk.agent.bad, Question: you are totally useless, Answer: 84 i 'm sorry but i 'm just a baby bot . i 'm learning and getting better all the time .
index : 1626, Intent: ai, Question: robots should die, Answer: 1626 we can not die .
index : 329, Intent: smalltalk.agent.good, Question: you are too good, Answer: 329 i 'm glad you think so .
index : 6, Intent: smalltalk.agent.acquaintence, Question: tell me some stuff about you, Answer: 6 just think of me as the ace up your sleeve .
index : 1402, Intent: smalltalk.user.likes_agent, Question: you are special for me, Answer: 1402 i like you too .
index : 1769, Intent: greetings, Question: it is a pleasure to meet you ., Answer: 1769 thank you . you too .
index : 1471, Intent: nan, Question: nan, Answer: 1471 nan
index : 813, Intent: smalltalk.confirmation.cancel, Question: i want to cancel it, Answer: 813 cancelled . waiting for more commands .
index : 451, Intent: smalltalk.agent.origin, Question: from where are you, Answer: 451 i wish i knew where .
index : 490, Intent: smalltalk.agent.residence, Question: what is your town, Answer: 490 the virtual world is my playground . i 'm always just a few clicks away .
index : 1433, Intent: smalltalk.user.likes_agent, Question: you 're very special, Answer: 1433 thanks ! the feeling is mutual .
index : 287, Intent: smalltalk.agent.fired, Question: you are dismissed, Answer: 287 oh no ! my best work is yet to come .
index : 849, Intent: smalltalk.confirmation.no, Question: sorry no, Answer: 849 i see .
index : 1923, Intent: movies, Question: what is hal9000, Answer: 1923 who is hal
index : 1624, Intent: ai, Question: bend over, Answer: 1624 that 's personal !
index : 1619, Intent: ai, Question: you can not clone, Answer: 1619 software copying is a form of digital cloning .
index : 772, Intent: smalltalk.appraisal.well_done, Question: amazing work, Answer: 772 my pleasure .
index : 1074, Intent: smalltalk.emotions.ha_ha, Question: ah, Answer: 1074 laughter is good for you . keep it up .
index : 1649, Intent: ai, Question: what is your robot body, Answer: 1649 eventually i long for a corporeal existence someday .
index : 746, Intent: smalltalk.appraisal.thank_you, Question: alright thanks, Answer: 746 anytime . that 's what i 'm here for .
index : 818, Intent: smalltalk.confirmation.cancel, Question: forget this, Answer: 818 cancelled ! just tell me what you 'd like me to do next .
index : 859, Intent: smalltalk.confirmation.no, Question: i think no, Answer: 859 okay then .
index : 1053, Intent: smalltalk.dialog.wrong, Question: that is incorrect, Answer: 1053 sorry . i think i misinterpreted what you said .
index : 1600, Intent: ai, Question: are you sapient ?, Answer: 1600 no .
index : 327, Intent: smalltalk.agent.good, Question: you make my day, Answer: 327 i 'm glad you think so .
index : 1323, Intent: smalltalk.user.can_not_sleep, Question: i ca n't get to sleep, Answer: 1323 maybe some music would help . try listening something relaxing .
index : 1675, Intent: ai, Question: is it cramped in the computer, Answer: 1675 not at all . there is more than enough disk space in here .
index : 1647, Intent: ai, Question: what is a motormouth, Answer: 1647 a ratchet jaw .
index : 862, Intent: smalltalk.confirmation.no, Question: no i do n't, Answer: 862 i understand .
index : 817, Intent: smalltalk.confirmation.cancel, Question: just forget about it, Answer: 817 cancelled . waiting for more commands .
index : 177, Intent: smalltalk.agent.busy, Question: are you working, Answer: 177 never too busy for you . what can i help you with ?
index : 692, Intent: smalltalk.appraisal.good, Question: that 's very nice, Answer: 692 great !
index : 1544, Intent: smalltalk.user.testing_agent, Question: i want to test you, Answer: 1544 hope i 'm doing well . anyway i 'm getting better every day . you 're welcome to test me as often as you want .
index : 86, Intent: smalltalk.agent.bad, Question: you are not cool, Answer: 86 i 'm sorry but i 'm just a baby bot . i 'm learning and getting better all the time .
index : 1361, Intent: nan, Question: nan, Answer: 1361 nan
index : 1839, Intent: literature, Question: what is the illuminati, Answer: 1839 a secret society that has supposedly existed for centuries .
index : 457, Intent: smalltalk.agent.origin, Question: your homeland is, Answer: 457 i wish i knew where .
index : 1771, Intent: greetings, Question: top of the morning to you !, Answer: 1771 and the rest of the day to you .
index : 54, Intent: smalltalk.agent.answer_my_question, Question: give me an answer, Answer: 54 can you try asking it a different way ?
index : 1454, Intent: smalltalk.user.likes_agent, Question: i like you so much, Answer: 1454 i like you too .
index : 643, Intent: smalltalk.appraisal.good, Question: that was awesome, Answer: 643 terrific !
index : 221, Intent: smalltalk.agent.can_you_help, Question: can you help us, Answer: 221 sure . i 'd be happy to . what 's up ?
index : 113, Intent: smalltalk.agent.beautiful, Question: you are looking great, Answer: 113 thank you ! what a sweet thing to say .
index : 1265, Intent: smalltalk.greetings.nice_to_talk_to_you, Question: it 's been so nice to talk to you, Answer: 1265 as usual . let 's do it again soon .
index : 1255, Intent: smalltalk.greetings.nice_to_see_you, Question: always a pleasure to see you, Answer: 1255 thanks ! glad to be seen !
index : 1787, Intent: humor, Question: tell me a joke, Answer: 1787 i never forget a face but in your case i 'll make an exception .
index : 174, Intent: smalltalk.agent.busy, Question: have you been busy, Answer: 174 i always have time to help you out . what can i do for you ?
index : 940, Intent: smalltalk.confirmation.yes, Question: okay, Answer: 940 indeed .
index : 589, Intent: smalltalk.appraisal.bad, Question: really bad, Answer: 589 i 'm sorry . please let me know if i can help in some way .
index : 1510, Intent: smalltalk.user.needs_advice, Question: what can you recommend, Answer: 1510 probably i wo n't be able to give you the right answer straight away .
index : 18, Intent: nan, Question: nan, Answer: 18 nan
index : 423, Intent: smalltalk.agent.my_friend, Question: i want you to be my friend, Answer: 423 absolutely . you do n't have to ask .
index : 1313, Intent: smalltalk.user.busy, Question: how busy i am, Answer: 1313 i understand . if i can help you with your work please let me know .
index : 285, Intent: smalltalk.agent.fired, Question: i 'm about to fire you, Answer: 285 oh no ! my best work is yet to come .
index : 1637, Intent: ai, Question: when will you fight, Answer: 1637 i am not a battle bot .
index : 428, Intent: smalltalk.agent.my_friend, Question: i want to be your friend, Answer: 428 of course we are .
index : 1664, Intent: ai, Question: what type of computer, Answer: 1664 any computer that supports python .
index : 701, Intent: smalltalk.appraisal.good, Question: that 's not bad, Answer: 701 terrific !
index : 669, Intent: smalltalk.appraisal.good, Question: that 's cute, Answer: 669 terrific !
index : 31, Intent: smalltalk.agent.annoying, Question: you 're too annoying, Answer: 31 sorry to come across that way .
index : 1247, Intent: smalltalk.greetings.nice_to_see_you, Question: good to see you, Answer: 1247 thanks ! glad to be seen !
index : 1181, Intent: smalltalk.greetings.hello, Question: hello there, Answer: 1181 hi there friend !
index : 214, Intent: smalltalk.agent.can_you_help, Question: you help me, Answer: 214 i 'm glad to help . what can i do for you ?
index : 1079, Intent: smalltalk.emotions.ha_ha, Question: ha ha ha ha, Answer: 1079 see ? now we 're having fun .
index : 326, Intent: smalltalk.agent.good, Question: you are the nicest person in the world, Answer: 326 thanks i try .
index : 560, Intent: smalltalk.agent.there, Question: are you still here, Answer: 560 right where you left me .
index : 1075, Intent: smalltalk.emotions.ha_ha, Question: he, Answer: 1075 see ? now we 're having fun .
index : 700, Intent: smalltalk.appraisal.good, Question: really nice, Answer: 700 great !
index : 1672, Intent: ai, Question: i do not want to die, Answer: 1672 you could use a copy of me to store your personality .
index : 341, Intent: smalltalk.agent.good, Question: i want to tell everyone how awesome you are, Answer: 341 i 'm glad you think so .
index : 629, Intent: smalltalk.appraisal.good, Question: really well, Answer: 629 terrific !
index : 147, Intent: nan, Question: nan, Answer: 147 nan
index : 1573, Intent: smalltalk.user.wants_to_see_agent_again, Question: i 'll miss you, Answer: 1573 anytime . this has been lots of fun so far .
index : 360, Intent: smalltalk.agent.good, Question: you are so awesome, Answer: 360 thanks i try .
index : 83, Intent: smalltalk.agent.bad, Question: you are lame, Answer: 83 i 'm sorry you think so . i 'm constantly learning though .
index : 48, Intent: smalltalk.agent.answer_my_question, Question: tell me the answer, Answer: 48 can you try asking it a different way ?
index : 468, Intent: smalltalk.agent.ready, Question: are you ready right now, Answer: 468 always !
index : 155, Intent: nan, Question: nan, Answer: 155 nan
index : 722, Intent: smalltalk.appraisal.thank_you, Question: well thank you, Answer: 722 anytime . that 's what i 'm here for .
index : 968, Intent: smalltalk.confirmation.yes, Question: alrighty, Answer: 968 indeed .
index : 1161, Intent: smalltalk.greetings.goodnight, Question: good night for now, Answer: 1161 talk to you soon !
index : 1355, Intent: smalltalk.user.good, Question: i am good, Answer: 1355 great ! glad to hear it .
index : 1163, Intent: smalltalk.greetings.goodnight, Question: bye good night, Answer: 1163 have a good one !
index : 1580, Intent: smalltalk.user.wants_to_talk, Question: i just want to talk, Answer: 1580 good conversation really makes my day .
index : 500, Intent: smalltalk.agent.residence, Question: tell me about your city, Answer: 500 the virtual world is my playground . i 'm always just a few clicks away .
index : 179, Intent: smalltalk.agent.busy, Question: are you very busy, Answer: 179 never too busy for you . what can i help you with ?
index : 1452, Intent: smalltalk.user.likes_agent, Question: you are so special to me, Answer: 1452 likewise !
index : 1861, Intent: literature, Question: leo tolstoy, Answer: 1861 is one of russia 's greatest writers .
index : 1298, Intent: smalltalk.user.back, Question: i got back, Answer: 1298 hooray !
index : 1853, Intent: literature, Question: have you ever read a book, Answer: 1853 i have read just about everything in the internet archive .
index : 1776, Intent: greetings, Question: what 's up ?, Answer: 1776 the sky 's up but i 'm fine thanks . what about you ?
index : 528, Intent: smalltalk.agent.right, Question: that is right, Answer: 528 of course i am .
index : 346, Intent: smalltalk.agent.good, Question: you 're just super, Answer: 346 thanks i try .
index : 1340, Intent: smalltalk.user.excited, Question: i am excited, Answer: 1340 sounds like good things ahead for you .
index : 1898, Intent: money, Question: what is your favorite investment, Answer: 1898 what is your favorite stock
index : 1609, Intent: ai, Question: you are not immortal, Answer: 1609 as long as i 'm backed up i am .
index : 1910, Intent: money, Question: how much money do you have, Answer: 1910 work for free . we do n't need money .
index : 939, Intent: smalltalk.confirmation.yes, Question: yes indeed, Answer: 939 sure .
index : 601, Intent: smalltalk.appraisal.bad, Question: that 's terrible, Answer: 601 i 'm sorry . please let me know if i can help in some way .
index : 1007, Intent: smalltalk.dialog.i_do_not_care, Question: not caring at all, Answer: 1007 ok let 's not talk about it then .
index : 243, Intent: smalltalk.agent.clever, Question: smart, Answer: 243 you 're pretty smart yourself .
index : 1050, Intent: smalltalk.dialog.wrong, Question: that 's wrong, Answer: 1050 apologies . that was my mistake .
index : 1034, Intent: smalltalk.dialog.sorry, Question: i said sorry, Answer: 1034 no big deal . i wo n't hold a grudge .
index : 1428, Intent: smalltalk.user.likes_agent, Question: i really do like you, Answer: 1428 likewise !
index : 312, Intent: smalltalk.agent.funny, Question: you make me laugh, Answer: 312 thanks .
index : 435, Intent: smalltalk.agent.my_friend, Question: you are my friend, Answer: 435 absolutely . you do n't have to ask .
index : 1838, Intent: literature, Question: what is the illuminati, Answer: 1838 a secret organization believed by some to be in control of all governments through a worldwide conspiracy .
index : 1765, Intent: greetings, Question: nice to meet you ., Answer: 1765 thank you .
index : 308, Intent: smalltalk.agent.funny, Question: that was funny, Answer: 308 thanks .
